School URL,Rank (2017-18),school type,School,School URL,District,District URL,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2017-18),Average Standard Score (2016-17),Rank (2016-17),Rank Change from (2016-17),SchoolDigger Star Rating
https://www.schooldigger.com/go/TX/schools/3312006023/school.aspx,6,H,Health Careers High School,https://www.schooldigger.com/go/TX/schools/3312006023/school.aspx,Northside Independent School District,https://www.schooldigger.com/go/TX/district/33120/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78229,Bexar,(210) 397-5400,09,12,No,No,Yes,No,851,50,17,25.5%,5.2%,0.8%,14.7%,52.3%,2.2%,4.8%,20.0%,96.6,96.9,6,0,5
https://www.schooldigger.com/go/TX/schools/2499012011/school.aspx,12,H,Judson Early College Academy,https://www.schooldigger.com/go/TX/schools/2499012011/school.aspx,Judson Independent School District,https://www.schooldigger.com/go/TX/district/24990/search.aspx,Live Oak,https://www.schooldigger.com/go/TX/city/Live+Oak/search.aspx,78233,Bexar,(210) 945-5100,09,12,No,No,No,No,455,20.1,22.6,43.7%,17.8%,0.0%,5.3%,51.6%,0.4%,4.8%,20.0%,95.4,96.6,9,-3,5
https://www.schooldigger.com/go/TX/schools/3873011806/school.aspx,27,H,Young Women's Leadership Academy,https://www.schooldigger.com/go/TX/schools/3873011806/school.aspx,San Antonio Independent School District,https://www.schooldigger.com/go/TX/district/38730/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78201,Bexar,(210) 438-6525,06,12,Yes,Yes,No,No,445,24,18.5,53.3%,3.1%,0.4%,1.1%,91.2%,0.0%,0.7%,3.4%,93.2,95.4,17,-10,5
https://www.schooldigger.com/go/TX/schools/3294011973/school.aspx,64,H,Johnson High School,https://www.schooldigger.com/go/TX/schools/3294011973/school.aspx,North East Independent School District,https://www.schooldigger.com/go/TX/district/32940/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78259,Bexar,(210) 356-0400,09,12,No,No,No,No,3081,160.5,19.1,15.6%,5.5%,0.4%,7.0%,42.4%,0.3%,4.4%,40.0%,89.7,90.6,66,2,5
https://www.schooldigger.com/go/TX/schools/0143813036/school.aspx,68,H,Basis San Antonio- Shavano Campus,https://www.schooldigger.com/go/TX/schools/0143813036/school.aspx,Basis Texas,https://www.schooldigger.com/go/TX/district/01438/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78213,Bexar,(210) 556-4651,06,12,No,Yes,No,No,758,,,9.8%,2.6%,0.5%,39.1%,28.6%,0.3%,4.2%,24.7%,89.2,78.8,211,143,5
https://www.schooldigger.com/go/TX/schools/3873011436/school.aspx,77,H,Travis Early College High School,https://www.schooldigger.com/go/TX/schools/3873011436/school.aspx,San Antonio Independent School District,https://www.schooldigger.com/go/TX/district/38730/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78212,Bexar,(210) 738-9830,09,12,Yes,Yes,No,No,433,19,22.7,68.4%,2.1%,0.0%,0.0%,93.8%,0.0%,0.0%,4.2%,88.7,91.2,58,-19,5
https://www.schooldigger.com/go/TX/schools/3294008116/school.aspx,100,H,Reagan High School,https://www.schooldigger.com/go/TX/schools/3294008116/school.aspx,North East Independent School District,https://www.schooldigger.com/go/TX/district/32940/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78258,Bexar,(210) 356-1800,09,12,No,No,No,No,3440,175.7,19.5,11.7%,4.6%,0.2%,7.8%,43.7%,0.2%,2.9%,40.7%,87.2,88.1,93,-7,5
https://www.schooldigger.com/go/TX/schools/3294007513/school.aspx,104,H,International School Of America,https://www.schooldigger.com/go/TX/schools/3294007513/school.aspx,North East Independent School District,https://www.schooldigger.com/go/TX/district/32940/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78213,Bexar,(210) 356-0900,09,12,No,No,Yes,No,489,24.1,20.2,23.3%,3.9%,0.2%,3.5%,56.6%,0.2%,3.7%,31.9%,86.8,87,109,5,5
https://www.schooldigger.com/go/TX/schools/0025810423/school.aspx,190,H,School Of Science And Technology,https://www.schooldigger.com/go/TX/schools/0025810423/school.aspx,School Of Science And Technology,https://www.schooldigger.com/go/TX/district/00258/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78209,Bexar,(210) 804-0222,06,12,Yes,Yes,No,No,457,30.7,14.8,46.6%,8.1%,0.0%,5.7%,58.6%,0.0%,4.4%,23.2%,80.3,79.2,203,13,4
https://www.schooldigger.com/go/TX/schools/3645004088/school.aspx,208,H,Randolph High School,https://www.schooldigger.com/go/TX/schools/3645004088/school.aspx,Randolph Field Independent School District,https://www.schooldigger.com/go/TX/district/36450/search.aspx,Universal City,https://www.schooldigger.com/go/TX/city/Universal+City/search.aspx,78148,Bexar,(210) 357-2400,09,12,No,No,No,No,450,33.5,13.4,5.6%,19.3%,0.0%,4.0%,24.9%,1.6%,9.6%,40.7%,79,81.7,166,-42,4
